Cliente,Estado,Género,Valor de vida del cliente,Ingreso,Prima mensual del auto,Tipo de póliza,Clase del vehículo,Monto total de reclamo
RB50392,Washington,,0.0,0.0,1000.0,Personal Auto,Four-Door Car,2.704934
QZ44356,Arizona,F,69795359.0,0.0,94.0,Personal Auto,Four-Door Car,1131.464935
AI49188,Nevada,F,128874317.0,48767.0,108.0,Personal Auto,Two-Door Car,566.472247
WW63253,California,M,76458618.0,0.0,106.0,Corporate Auto,SUV,529.881344
GA49547,Washington,M,53630765.0,36357.0,68.0,Personal Auto,Four-Door Car,17.269323
OC83172,Oregon,F,82562978.0,62902.0,69.0,Personal Auto,Two-Door Car,159.383042
XZ87318,Oregon,F,53808986.0,55350.0,67.0,Corporate Auto,Four-Door Car,321.6
CF85061,Arizona,M,72161003.0,0.0,101.0,Corporate Auto,Four-Door Car,363.02968
DY87989,Oregon,M,241275040.0,14072.0,71.0,Corporate Auto,Four-Door Car,511.2
BQ94931,Oregon,F,73881781.0,28812.0,93.0,Special Auto,Four-Door Car,425.527834
SX51350,California,M,47389920.0,0.0,67.0,Personal Auto,Four-Door Car,482.4
VQ65197,California,,81971971.0,0.0,110.0,Personal Auto,SUV,528.0
DP39365,California,,87987970.0,77026.0,110.0,Corporate Auto,Four-Door Car,472.029737
SJ95423,Arizona,,88190189.0,99845.0,110.0,Corporate Auto,SUV,528.0
IL66569,California,,53844317.00000001,83689.0,70.0,Corporate Auto,Four-Door Car,307.139132
BW63560,Oregon,,74631394.0,24599.0,64.0,Corporate Auto,Four-Door Car,42.920271
FV94802,Nevada,,25668678.0,25049.0,67.0,Personal Auto,Two-Door Car,454.245098
OE15005,Cali,,39452416.0,28855.0,101.0,Personal Auto,SUV,647.442031
WC83389,Oregon,,57103331.00000001,51148.0,72.0,Personal Auto,Four-Door Car,308.981664
FL50705,California,,81626171.0,66140.0,101.0,Corporate Auto,Four-Door Car,484.8
ZK25313,Oregon,,28720513.0,57749.0,74.0,Personal Auto,Two-Door Car,355.2
QK46697,Washington,M,61771093.00000001,61040.0,79.0,Personal Auto,Two-Door Car,20.382876
